Time,Command,Reading
-0.0000,-0.00,19.26
0.0020,0.64,19.12
0.0050,1.60,10.93
0.0080,2.55,12.06
0.0110,3.50,17.14
0.0140,4.44,17.71
0.0170,5.37,17.28
0.0190,5.99,17.71
0.0220,6.90,17.57
0.0250,7.79,16.01
0.0280,8.66,15.17
0.0310,9.52,15.59
0.0340,10.35,14.60
0.0360,10.89,15.03
0.0390,11.69,14.46
0.0420,12.45,14.04
0.0450,13.19,14.89
0.0480,13.89,14.32
0.0510,14.57,14.46
0.0530,15.00,13.33
0.0560,15.62,14.04
0.0590,16.20,13.90
0.0620,16.74,13.90
0.0650,17.25,13.33
0.0680,17.71,13.19
0.0700,18.00,13.05
0.0730,18.40,13.33
0.0760,18.75,13.33
0.0790,19.07,13.33
0.0820,19.33,13.76
0.0840,19.49,13.47
0.0870,19.68,13.90
0.0900,19.83,14.18
0.0930,19.93,14.04
0.0960,19.99,13.62
0.0990,20.00,14.46
0.1010,19.98,14.32
0.1040,19.91,13.47
0.1070,19.80,13.33
0.1100,19.64,14.04
0.1130,19.44,13.90
0.1160,19.19,12.91
0.1180,19.00,13.62
0.1210,18.68,14.18
0.1240,18.32,13.19
0.1270,17.91,14.60
0.1300,17.46,14.32
0.1330,16.97,13.90
0.1350,16.63,13.76
0.1380,16.08,15.03
0.1410,15.49,13.90
0.1440,14.86,14.46
0.1470,14.20,14.89
0.1500,13.51,14.18
0.1520,13.03,15.17
0.1550,12.29,14.74
0.1580,11.52,15.17
0.1610,10.72,14.60
0.1640,9.90,14.74
0.1670,9.05,14.46
0.1690,8.48,14.04
0.1720,7.60,15.03
0.1750,6.70,14.60
0.1780,5.79,14.32
0.1810,4.86,13.76
0.1840,3.93,14.04
0.1860,3.30,13.90
0.1890,2.35,13.76
0.1920,1.39,11.08
0.1950,0.43,11.50
0.1980,-0.53,11.78
0.2010,-1.49,11.78
0.2030,-2.12,11.22
0.2060,-3.08,11.08
0.2090,-4.02,10.51
0.2120,-4.96,10.51
0.2150,-5.88,10.51
0.2180,-6.79,10.93
0.2200,-7.39,10.65
0.2230,-8.27,8.96
0.2260,-9.14,6.42
0.2290,-9.98,7.27
0.2320,-10.80,7.83
0.2350,-11.59,6.98
0.2370,-12.11,6.98
0.2400,-12.86,6.14
0.2430,-13.58,5.71
0.2460,-14.27,5.86
0.2490,-14.92,5.15
0.2520,-15.55,4.73
0.2540,-15.94,3.88
0.2570,-16.50,1.62
0.2600,-17.03,0.07
0.2630,-17.51,0.63
0.2660,-17.95,1.90
0.2690,-18.36,1.48
0.2710,-18.60,1.34
0.2740,-18.93,0.92
0.2770,-19.22,0.35
0.2800,-19.46,-0.49
0.2830,-19.66,-1.34
0.2860,-19.81,-1.48
0.2880,-19.89,-2.05
0.2910,-19.97,-2.47
0.2940,-20.00,-3.17
0.2970,-19.98,-3.74
0.3000,-19.92,-4.02
0.3030,-19.82,-4.02
0.3050,-19.72,-4.30
0.3080,-19.54,-4.30
0.3110,-19.31,-4.87
0.3140,-19.04,-4.30
0.3170,-18.72,-4.87
0.3200,-18.36,-5.01
0.3220,-18.10,-5.15
0.3250,-17.67,-5.01
0.3280,-17.20,-5.71
0.3310,-16.69,-5.71
0.3340,-16.14,-5.86
0.3370,-15.56,-6.42
0.3390,-15.15,-6.42
0.3420,-14.50,-6.56
0.3450,-13.82,-6.98
0.3480,-13.12,-6.84
0.3510,-12.38,-7.83
0.3540,-11.61,-8.25
0.3560,-11.08,-8.25
0.3590,-10.27,-7.83
0.3620,-9.43,-8.11
0.3650,-8.58,-8.25
0.3680,-7.70,-8.40
0.3710,-6.81,-8.54
0.3730,-6.20,-8.40
0.3760,-5.28,-8.82
0.3790,-4.35,-9.24
0.3820,-3.41,-10.23
0.3850,-2.46,-10.37
0.3880,-1.50,-10.23
0.3900,-0.86,-10.65
0.3930,0.10,-9.10
0.3960,1.06,-9.10
0.3990,2.01,-8.82
0.4020,2.97,-9.52
0.4040,3.60,-8.96
0.4070,4.54,-7.55
0.4100,5.47,-7.83
0.4130,6.38,-8.40
0.4160,7.28,-10.51
0.4190,8.17,-8.54
0.4210,8.75,-6.84
0.4240,9.60,-6.70
0.4270,10.43,-7.83
0.4300,11.24,-6.28
0.4330,12.02,-6.42
0.4360,12.77,-5.43
0.4380,13.26,-5.01
0.4410,13.96,-4.87
0.4440,14.63,-4.30
0.4470,15.27,-3.46
0.4500,15.87,-4.02
0.4530,16.44,-2.47
0.4550,16.79,-1.76
0.4580,17.30,-1.34
0.4610,17.76,-0.78
0.4640,18.18,-1.06
0.4670,18.56,-0.63
0.4700,18.89,-0.35
0.4720,19.09,-0.07
0.4750,19.36,0.63
0.4780,19.58,1.20
0.4810,19.75,1.20
0.4840,19.88,1.48
0.4870,19.96,1.48
0.4890,19.99,1.34
0.4920,20.00,2.33
0.4950,19.96,1.34
0.4980,19.87,2.19
0.5010,19.74,2.47
0.5040,19.56,2.89
0.5060,19.42,3.32
0.5090,19.16,3.88
0.5120,18.87,4.30
0.5150,18.53,4.30
0.5180,18.15,4.44
0.5210,17.72,5.15
0.5230,17.42,5.29
0.5260,16.92,5.29
0.5290,16.39,5.29
0.5320,15.82,5.43
0.5350,15.22,6.42
0.5380,14.58,7.27
0.5400,14.13,6.84
0.5430,13.44,6.84
0.5460,12.71,6.98
0.5490,11.96,7.41
0.5520,11.17,8.11
0.5550,10.36,8.25
0.5570,9.81,8.54
0.5600,8.96,8.40
0.5630,8.10,8.82
0.5660,7.21,9.10
0.5690,6.31,9.24
0.5720,5.39,8.82
0.5740,4.77,7.97
0.5770,3.83,7.97
0.5800,2.89,7.69
0.5830,1.93,8.54
0.5860,0.98,8.68
0.5890,0.02,7.97
0.5910,-0.62,8.68
0.5940,-1.58,8.25
0.5970,-2.54,7.55
0.6000,-3.49,7.27
0.6030,-4.43,7.41
0.6060,-5.36,5.29
0.6080,-5.97,4.87
0.6110,-6.88,6.00
0.6140,-7.77,5.01
0.6170,-8.65,4.59
0.6200,-9.50,4.87
0.6230,-10.34,4.87
0.6250,-10.88,3.88
0.6280,-11.67,3.32
0.6310,-12.44,2.89
0.6340,-13.18,2.47
0.6370,-13.88,-0.21
0.6400,-14.56,-0.49
0.6420,-14.99,1.48
0.6450,-15.61,1.34
0.6480,-16.19,0.92
0.6510,-16.73,0.21
0.6540,-17.24,-0.35
0.6570,-17.71,-0.21
0.6590,-18.00,-0.92
0.6620,-18.39,-1.20
0.6650,-18.75,-2.05
0.6680,-19.06,-1.90
0.6710,-19.33,-2.61
0.6740,-19.55,-3.03
0.6760,-19.68,-3.32
0.6790,-19.83,-4.16
0.6820,-19.93,-4.02
0.6850,-19.99,-4.59
0.6880,-20.00,-4.73
0.6910,-19.96,-4.44
0.6930,-19.91,-4.44
0.6960,-19.80,-4.73
0.6990,-19.65,-4.44
0.7020,-19.44,-5.29
0.7050,-19.20,-5.86
0.7080,-18.91,-5.29
0.7100,-18.69,-6.28
0.7130,-18.32,-6.14
0.7160,-17.92,-6.84
0.7190,-17.47,-6.98
0.7220,-16.98,-6.84
0.7240,-16.64,-6.98
0.7270,-16.08,-7.27
0.7300,-15.50,-7.83
0.7330,-14.87,-7.83
0.7360,-14.21,-7.83
0.7390,-13.52,-7.69
0.7410,-13.04,-8.40
0.7440,-12.30,-8.54
0.7470,-11.53,-8.96
0.7500,-10.73,-8.96
0.7530,-9.91,-8.96
0.7560,-9.06,-8.82
0.7580,-8.49,-9.24
0.7610,-7.61,-8.82
0.7640,-6.71,-9.81
0.7670,-5.80,-8.96
0.7700,-4.88,-8.82
0.7730,-3.94,-9.10
0.7750,-3.31,-9.38
0.7780,-2.36,-9.52
0.7810,-1.41,-10.23
0.7840,-0.45,-9.52
0.7870,0.51,-9.38
0.7900,1.47,-9.10
0.7920,2.11,-9.52
0.7950,3.06,-11.64
0.7980,4.01,-11.78
0.8010,4.94,-9.81
0.8040,5.87,-8.25
0.8070,6.78,-8.40
0.8090,7.37,-8.25
0.8120,8.26,-7.55
0.8150,9.12,-6.84
0.8180,9.97,-7.13
0.8210,10.79,-6.14
0.8240,11.58,-6.28
0.8260,12.10,-7.83
0.8290,12.85,-6.28
0.8320,13.57,-5.01
0.8350,14.26,-4.87
0.8380,14.91,-4.02
0.8410,15.54,-3.32
0.8430,15.93,-1.90
0.8460,16.49,-1.20
0.8490,17.02,-1.20
0.8520,17.50,-0.92
0.8550,17.95,0.21
0.8580,18.35,-1.34
0.8600,18.59,-0.49
0.8630,18.93,0.63
0.8660,19.21,0.92
0.8690,19.46,2.33
0.8720,19.66,2.75
0.8750,19.81,3.03
0.8770,19.89,3.46
0.8800,19.97,3.74
0.8830,20.00,3.88
0.8860,19.98,4.73
0.8890,19.92,5.15
0.8920,19.82,5.43
0.8940,19.72,6.00
0.8970,19.54,5.71
0.9000,19.31,6.14
0.9030,19.04,6.14
0.9060,18.73,6.70
0.9090,18.37,7.13
0.9110,18.10,6.98
0.9140,17.68,7.27
0.9170,17.21,7.55
0.9200,16.70,7.27
0.9230,16.15,6.42
0.9260,15.57,7.13
0.9280,15.16,7.97
0.9310,14.51,8.54
0.9340,13.84,8.54
0.9370,13.13,8.96
0.9400,12.39,9.24
0.9430,11.62,9.38
0.9450,11.09,9.52
0.9480,10.28,9.38
0.9510,9.45,9.52
0.9540,8.59,9.81
0.9570,7.71,10.37
0.9600,6.82,9.52
0.9620,6.21,10.23
0.9650,5.30,9.38
0.9680,4.36,9.81
0.9710,3.42,10.09
0.9740,2.47,9.66
0.9770,1.52,9.52
0.9790,0.88,9.52
0.9820,-0.08,9.10
0.9850,-1.04,8.25
0.9880,-2.00,7.27
0.9910,-2.95,7.83
0.9940,-3.90,7.69
0.9960,-4.52,7.69
0.9990,-5.45,7.41
1.0020,-6.37,7.41
1.0050,-7.27,7.27
1.0080,-8.16,5.71
1.0110,-9.02,6.14
1.0130,-9.59,4.87
1.0160,-10.42,2.61
1.0190,-11.23,1.48
1.0220,-12.01,3.74
1.0250,-12.76,3.46
1.0280,-13.49,3.03
1.0300,-13.95,2.75
1.0330,-14.62,2.33
1.0360,-15.26,2.47
1.0390,-15.86,1.20
1.0420,-16.43,0.78
1.0440,-16.79,0.07
1.0470,-17.29,-0.35
1.0500,-17.75,-0.35
1.0530,-18.17,-1.76
1.0560,-18.55,-0.78
1.0590,-18.89,-1.62
1.0610,-19.09,-1.48
1.0640,-19.35,-1.62
1.0670,-19.57,-2.19
1.0700,-19.75,-2.19
1.0730,-19.88,-3.46
1.0760,-19.96,-2.89
1.0780,-19.99,-2.61
1.0810,-20.00,-3.74
1.0840,-19.96,-3.46
1.0870,-19.87,-3.46
1.0900,-19.74,-3.74
1.0930,-19.56,-4.30
1.0950,-19.42,-4.44
1.0980,-19.17,-4.87
1.1010,-18.87,-5.15
1.1040,-18.53,-5.57
1.1070,-18.15,-5.86
1.1100,-17.73,-5.86
1.1120,-17.42,-6.14
1.1150,-16.93,-6.28
1.1180,-16.40,-6.98
1.1210,-15.83,-6.70
1.1240,-15.23,-6.84
1.1270,-14.59,-6.98
1.1290,-14.14,-6.84
1.1320,-13.45,-7.13
1.1350,-12.72,-8.25
1.1380,-11.97,-7.97
1.1410,-11.19,-7.55
1.1440,-10.38,-8.68
1.1460,-9.83,-8.54
1.1490,-8.98,-7.69
1.1520,-8.11,-8.11
1.1550,-7.22,-8.40
1.1580,-6.32,-8.68
1.1610,-5.40,-8.40
1.1630,-4.78,-8.40
1.1660,-3.85,-8.68
1.1690,-2.90,-8.96
1.1720,-1.95,-8.82
1.1750,-0.99,-10.65
1.1780,-0.03,-9.81
1.1800,0.61,-9.38
1.1830,1.57,-9.38
1.1860,2.52,-9.66
1.1890,3.47,-9.38
1.1920,4.41,-9.38
1.1950,5.34,-8.68
1.1970,5.96,-8.54
1.2000,6.87,-7.55
1.2030,7.76,-7.69
1.2060,8.64,-6.98
1.2090,9.49,-9.38
1.2120,10.32,-7.97
1.2140,10.87,-6.28
1.2170,11.66,-5.86
1.2200,12.43,-6.14
1.2230,13.16,-5.15
1.2260,13.87,-5.57
1.2290,14.55,-4.16
1.2310,14.98,-3.03
1.2340,15.60,-2.75
1.2370,16.18,-2.05
1.2400,16.73,-1.90
1.2430,17.23,-1.90
1.2460,17.70,-0.63
1.2480,17.99,-0.63
1.2510,18.39,-0.63
1.2540,18.74,-0.21
1.2570,19.06,0.92
1.2600,19.33,1.06
1.2630,19.55,1.62
1.2650,19.68,1.48
1.2680,19.83,1.48
1.2710,19.93,2.33
1.2740,19.99,2.05
1.2770,20.00,2.47
1.2800,19.96,3.03
1.2820,19.92,2.75
1.2850,19.81,3.46
1.2880,19.65,3.46
1.2910,19.45,3.17
1.2940,19.20,4.02
1.2970,18.91,4.30
1.2990,18.69,4.59
1.3020,18.33,5.29
1.3050,17.92,5.15
1.3080,17.48,5.29
1.3110,16.99,6.14
1.3140,16.47,5.71
1.3160,16.09,6.28
1.3190,15.51,7.27
1.3220,14.88,6.98
1.3250,14.22,7.13
1.3280,13.53,7.27
1.3310,12.81,7.97
1.3330,12.31,0.07
1.3360,11.54,6.56
1.3390,10.74,7.55
1.3420,9.92,8.68
1.3450,9.08,8.96
1.3470,8.50,9.52
1.3500,7.63,10.23
1.3530,6.73,10.37
1.3560,5.82,10.23
1.3590,4.89,11.50
1.3620,3.96,10.51
1.3640,3.33,9.81
1.3670,2.38,8.96
1.3700,1.42,8.54
1.3730,0.46,9.66
1.3760,-0.50,9.81
1.3790,-1.46,9.10
1.3810,-2.09,8.54
1.3840,-3.05,8.11
1.3870,-3.99,8.40
1.3900,-4.93,7.41
1.3930,-5.85,7.55
1.3960,-6.76,7.41
1.3980,-7.36,3.88
1.4010,-8.24,4.44
1.4040,-9.11,6.14
1.4070,-9.95,5.86
1.4100,-10.77,5.01
1.4130,-11.57,4.87
1.4150,-12.09,4.44
1.4180,-12.84,4.73
1.4210,-13.56,4.30
1.4240,-14.25,2.89
1.4270,-14.90,2.19
1.4300,-15.53,1.76
1.4320,-15.92,1.06
1.4350,-16.48,0.92
1.4380,-17.01,1.06
1.4410,-17.49,0.92
1.4440,-17.94,0.78
1.4470,-18.34,0.63
1.4490,-18.59,-0.21
1.4520,-18.92,-0.49
1.4550,-19.21,-0.92
1.4580,-19.46,-1.34
1.4610,-19.66,-2.47
1.4640,-19.81,-3.32
1.4660,-19.89,-3.46
1.4690,-19.97,-2.89
1.4720,-20.00,-3.60
1.4750,-19.99,-3.88
1.4780,-19.93,-4.30
1.4810,-19.82,-4.73
1.4830,-19.72,-4.87
1.4860,-19.54,-5.29
1.4890,-19.32,-5.71
1.4920,-19.05,-5.43
1.4950,-18.73,-5.43
1.4980,-18.37,-6.70
1.5000,-18.11,-6.56
1.5030,-17.68,-7.27
1.5060,-17.21,-7.41
1.5090,-16.71,-7.55
1.5120,-16.16,-8.54
1.5150,-15.58,-8.25
1.5170,-15.17,-7.97
1.5200,-14.52,-8.82
1.5230,-13.85,-8.40
1.5260,-13.14,-8.96
1.5290,-12.40,-9.24
1.5320,-11.63,-8.82
1.5340,-11.11,-9.24
1.5370,-10.30,-9.66
1.5400,-9.46,-8.96
1.5430,-8.60,-9.24
1.5460,-7.73,-8.68
1.5490,-6.83,-9.38
1.5510,-6.23,-9.10
1.5540,-5.31,-9.24
1.5570,-4.38,-10.09
1.5600,-3.44,-9.95
1.5630,-2.49,-9.66
1.5660,-1.53,-10.09
1.5680,-0.89,-10.09
1.5710,0.07,-9.52
1.5740,1.02,-8.96
1.5770,1.98,-9.81
1.5800,2.93,-10.51
1.5830,3.88,-9.10
1.5850,4.51,-9.66
1.5880,5.44,-11.92
1.5910,6.35,-11.36
1.5940,7.26,-8.54
1.5970,8.14,-7.41
1.6000,9.01,-7.27
1.6020,9.58,-7.27
1.6050,10.41,-6.56
1.6080,11.21,-6.42
1.6110,12.00,-6.70
1.6140,12.75,-5.43
1.6170,13.47,-5.29
1.6190,13.94,-7.41
1.6220,14.61,-6.28
