Time,Command,Reading
-0.0000,-0.00,0.07
0.0020,1.00,0.36
0.0050,2.49,0.36
0.0080,3.97,0.21
0.0110,5.43,0.07
0.0140,6.86,-1.21
0.0170,8.25,-1.49
0.0190,9.15,-1.35
0.0220,10.45,0.07
0.0250,11.70,0.21
0.0280,12.88,-0.78
0.0310,13.99,0.07
0.0340,15.03,-2.49
0.0360,15.67,-1.78
0.0390,16.55,0.36
0.0420,17.35,1.35
0.0450,18.05,1.78
0.0480,18.64,2.91
0.0510,19.13,4.19
0.0530,19.40,4.62
0.0560,19.71,4.90
0.0590,19.91,5.19
0.0620,20.00,5.90
0.0650,19.97,5.47
0.0680,19.83,5.90
0.0700,19.68,5.75
0.0730,19.36,6.32
0.0760,18.93,7.32
0.0790,18.39,7.60
0.0820,17.75,7.32
0.0840,17.26,7.89
0.0870,16.46,8.74
0.0900,15.56,8.60
0.0930,14.58,8.74
0.0960,13.51,8.17
0.0990,12.37,9.02
0.1010,11.57,9.59
0.1040,10.31,9.88
0.1070,9.00,10.30
0.1100,7.63,10.30
0.1130,6.23,11.01
0.1160,4.78,10.59
0.1180,3.81,10.44
0.1210,2.33,10.16
0.1240,0.83,10.16
0.1270,-0.67,9.45
0.1300,-2.16,5.19
0.1330,-3.65,6.47
0.1350,-4.63,7.32
0.1380,-6.07,8.03
0.1410,-7.48,7.03
0.1440,-8.85,7.46
0.1470,-10.17,6.89
0.1500,-11.43,6.04
0.1520,-12.24,5.75
0.1550,-13.39,5.33
0.1580,-14.46,4.48
0.1610,-15.46,1.63
0.1640,-16.37,1.35
0.1670,-17.18,3.77
0.1690,-17.67,2.49
0.1720,-18.32,2.49
0.1750,-18.87,0.78
0.1780,-19.32,0.92
0.1810,-19.65,0.50
0.1840,-19.87,-0.07
0.1860,-19.96,-0.21
0.1890,-20.00,-0.64
0.1920,-19.92,-1.35
0.1950,-19.74,-2.20
0.1980,-19.44,-2.34
0.2010,-19.03,-3.20
0.2030,-18.70,-3.06
0.2060,-18.12,-3.48
0.2090,-17.43,-3.77
0.2120,-16.65,-3.91
0.2150,-15.77,-3.77
0.2180,-14.80,-4.62
0.2200,-14.11,-4.19
0.2230,-13.01,-6.75
0.2260,-11.83,-6.61
0.2290,-10.59,-6.04
0.2320,-9.29,-5.61
0.2350,-7.94,-5.75
0.2370,-7.01,-6.61
0.2400,-5.59,-6.18
0.2430,-4.13,-6.47
0.2460,-2.66,-6.47
0.2490,-1.16,-6.89
0.2520,0.34,-7.03
0.2540,1.34,-9.17
0.2570,2.83,-8.74
0.2600,4.30,-8.45
0.2630,5.75,-8.17
0.2660,7.17,-7.60
0.2690,8.55,-7.32
0.2710,9.44,-7.03
0.2740,10.74,-6.75
0.2770,11.97,-6.04
0.2800,13.14,-6.75
0.2830,14.23,-6.32
0.2860,15.25,-8.03
0.2880,15.87,-6.75
0.2910,16.74,-4.33
0.2940,17.51,-3.62
0.2970,18.19,-2.91
0.3000,18.76,-1.49
0.3030,19.23,-0.36
0.3050,19.48,0.78
0.3080,19.76,1.07
0.3110,19.94,1.49
