Time,Command,Reading
-0.0000,933.00,19472
0.0030,1733.00,19504
0.0070,1733.00,19376
0.0110,1733.00,20576
0.0150,1733.00,20256
0.0190,1733.00,20048
0.0230,1733.00,19840
0.0260,1733.00,19680
0.0300,1733.00,19344
0.0340,1733.00,19104
0.0380,1733.00,18960
0.0420,1733.00,18720
0.0460,1733.00,18544
0.0490,1733.00,18288
0.0530,1733.00,18112
0.0570,1733.00,17888
0.0610,1733.00,17664
0.0650,1733.00,17424
0.0690,1733.00,17168
0.0720,1733.00,16960
0.0760,1733.00,16768
0.0800,1733.00,16528
0.0840,1733.00,16256
0.0880,1733.00,16112
0.0910,1733.00,15936
0.0950,1733.00,15728
0.0990,1733.00,15504
0.1030,1733.00,15312
0.1070,1733.00,15088
0.1110,1733.00,14896
0.1140,1733.00,14688
0.1180,1733.00,14464
0.1220,1733.00,14240
0.1260,1733.00,14032
0.1300,1733.00,13888
0.1340,1733.00,13632
0.1370,1733.00,13408
0.1410,1733.00,13168
0.1450,1733.00,12976
0.1490,1733.00,12784
0.1530,1733.00,12592
0.1570,1733.00,12384
0.1600,1733.00,12160
0.1640,1733.00,12000
0.1680,1733.00,11808
0.1720,1733.00,11584
0.1760,1733.00,11360
0.1800,1733.00,11120
0.1830,1733.00,10928
0.1870,1733.00,10672
0.1910,1733.00,10544
0.1950,1733.00,10384
0.1990,1733.00,10288
0.2030,1733.00,10112
0.2060,1733.00,10048
0.2100,1733.00,9984
0.2140,1733.00,9936
0.2180,1733.00,9888
0.2220,1733.00,9808
0.2260,1733.00,9824
0.2290,1733.00,9744
0.2330,1733.00,9680
0.2370,1733.00,9680
0.2410,1733.00,9760
0.2450,1733.00,9728
0.2490,1733.00,9680
0.2520,1733.00,9616
0.2560,1733.00,9632
0.2600,1733.00,9648
0.2640,1733.00,9664
0.2680,1733.00,9680
0.2720,1733.00,9648
0.2750,1733.00,9680
0.2790,1733.00,9680
0.2830,1733.00,9648
0.2870,1733.00,9648
0.2910,1733.00,9648
0.2950,1733.00,9680
0.2980,1733.00,9680
0.3020,1733.00,9664
0.3060,1733.00,9648
0.3100,1733.00,9632
0.3140,1733.00,9664
0.3180,1733.00,9664
0.3210,1733.00,9680
0.3250,1733.00,9648
0.3290,1733.00,9632
0.3330,1733.00,9664
0.3370,1733.00,9664
0.3410,1733.00,9680
0.3440,1733.00,9664
0.3480,1733.00,9664
0.3520,1733.00,9664
0.3560,1733.00,9648
0.3600,1733.00,9680
0.3630,1733.00,9680
0.3670,1733.00,9664
0.3710,1733.00,9648
0.3750,1733.00,9632
0.3790,1733.00,9664
0.3830,1733.00,9680
0.3860,1733.00,9664
0.3900,1733.00,9664
0.3940,1733.00,9632
0.3980,1733.00,9664
0.4020,1733.00,9648
0.4060,1733.00,9680
0.4090,1733.00,9664
0.4130,1733.00,9664
0.4170,1733.00,9648
0.4210,1733.00,9648
0.4250,1733.00,9680
0.4290,1733.00,9696
0.4320,1733.00,9664
0.4360,1733.00,9648
0.4400,1733.00,9696
0.4440,1733.00,9664
0.4480,1733.00,9648
0.4520,1733.00,9648
0.4550,1733.00,9664
0.4590,1733.00,9680
0.4630,1733.00,9680
0.4670,1733.00,9664
0.4710,1733.00,9616
0.4750,1733.00,9648
0.4780,1733.00,9664
0.4820,1733.00,9664
0.4860,1733.00,9664
0.4900,1733.00,9648
0.4940,1733.00,9648
0.4980,1733.00,9616
0.5010,1733.00,9680
0.5050,1733.00,9680
0.5090,1733.00,9680
0.5130,1733.00,9648
0.5170,1733.00,9648
0.5210,1733.00,9648
0.5240,1733.00,9664
0.5280,1733.00,9680
0.5320,1733.00,9648
0.5360,1733.00,9648
0.5400,1733.00,9648
0.5440,1733.00,9648
0.5470,1733.00,9680
0.5510,1733.00,9632
0.5550,1733.00,9664
0.5590,1733.00,9648
0.5630,1733.00,9616
0.5670,1733.00,9680
0.5700,1733.00,9680
0.5740,1733.00,9680
0.5780,1733.00,9648
0.5820,1733.00,9648
0.5860,1733.00,9680
0.5900,1733.00,9648
0.5930,1733.00,9648
0.5970,1733.00,9648
0.6010,1733.00,9648
0.6050,1733.00,9664
0.6090,1733.00,9680
0.6130,1733.00,9680
0.6160,1733.00,9664
0.6200,1733.00,9632
0.6240,1733.00,9664
0.6280,1733.00,9696
0.6320,1733.00,9680
0.6350,1733.00,9664
0.6390,1733.00,9664
0.6430,1733.00,9648
0.6470,1733.00,9648
0.6510,1733.00,9680
0.6550,1733.00,9664
0.6580,1733.00,9648
0.6620,1733.00,9680
0.6660,1733.00,9680
0.6700,1733.00,9664
0.6740,1733.00,9664
0.6780,1733.00,9632
0.6810,1733.00,9664
0.6850,1733.00,9664
0.6890,1733.00,9664
0.6930,1733.00,9664
0.6970,1733.00,9648
0.7010,1733.00,9664
0.7040,1733.00,9648
0.7080,1733.00,9680
0.7120,1733.00,9680
0.7160,1733.00,9664
0.7200,1733.00,9680
0.7240,1733.00,9680
0.7270,1733.00,9664
0.7310,1733.00,9648
0.7350,1733.00,9632
0.7390,1733.00,9664
0.7430,1733.00,9664
0.7470,1733.00,9680
