Time,Command,Reading
0.0010,1766.00,18400
0.0050,1766.00,18400
0.0090,1766.00,19248
0.0130,1766.00,18960
0.0170,1766.00,18736
0.0210,1766.00,18544
0.0240,1766.00,18240
0.0280,1766.00,18112
0.0320,1766.00,17856
0.0360,1766.00,17600
0.0400,1766.00,17424
0.0440,1766.00,17296
0.0470,1766.00,17136
0.0510,1766.00,16928
0.0550,1766.00,16720
0.0590,1766.00,16480
0.0630,1766.00,16304
0.0670,1766.00,16112
0.0700,1766.00,15904
0.0740,1766.00,15760
0.0780,1766.00,15584
0.0820,1766.00,15376
0.0860,1766.00,15120
0.0900,1766.00,14944
0.0930,1766.00,14736
0.0970,1766.00,14528
0.1010,1766.00,14336
0.1050,1766.00,14128
0.1090,1766.00,13904
0.1130,1766.00,13712
0.1160,1766.00,13456
0.1200,1766.00,13248
0.1240,1766.00,13072
0.1280,1766.00,12896
0.1320,1766.00,12656
0.1350,1766.00,12496
0.1390,1766.00,12272
0.1430,1766.00,12032
0.1470,1766.00,11920
0.1510,1766.00,11696
0.1550,1766.00,11520
0.1580,1766.00,11216
0.1620,1766.00,10944
0.1660,1766.00,10816
0.1700,1766.00,10672
0.1740,1766.00,10496
0.1780,1766.00,10320
0.1810,1766.00,10192
0.1850,1766.00,10080
0.1890,1766.00,9952
0.1930,1766.00,9808
0.1970,1766.00,9792
0.2010,1766.00,9712
0.2040,1766.00,9616
0.2080,1766.00,9584
0.2120,1766.00,9488
0.2160,1766.00,9440
0.2200,1766.00,9456
0.2240,1766.00,9424
0.2270,1766.00,9408
0.2310,1766.00,9408
0.2350,1766.00,9424
0.2390,1766.00,9344
0.2430,1766.00,9296
0.2470,1766.00,9408
0.2500,1766.00,9376
0.2540,1766.00,9328
0.2580,1766.00,9328
0.2620,1766.00,9392
0.2660,1766.00,9312
0.2700,1766.00,9360
0.2730,1766.00,9440
0.2770,1766.00,9296
0.2810,1766.00,9328
0.2850,1766.00,9328
0.2890,1766.00,9360
0.2930,1766.00,9360
0.2960,1766.00,9296
0.3000,1766.00,9312
0.3040,1766.00,9328
0.3080,1766.00,9328
0.3120,1766.00,9392
0.3160,1766.00,9376
0.3190,1766.00,9360
0.3230,1766.00,9392
0.3270,1766.00,9360
0.3310,1766.00,9280
0.3350,1766.00,9312
0.3390,1766.00,9424
0.3420,1766.00,9360
0.3460,1766.00,9376
0.3500,1766.00,9360
0.3540,1766.00,9344
0.3580,1766.00,9360
0.3620,1766.00,9424
0.3650,1766.00,9424
0.3690,1766.00,9376
0.3730,1766.00,9328
0.3770,1766.00,9376
0.3810,1766.00,9376
0.3850,1766.00,9376
0.3880,1766.00,9344
0.3920,1766.00,9360
0.3960,1766.00,9360
0.4000,1766.00,9408
0.4040,1766.00,9344
0.4080,1766.00,9392
0.4110,1766.00,9376
0.4150,1766.00,9376
0.4190,1766.00,9360
0.4230,1766.00,9376
0.4270,1766.00,9392
0.4310,1766.00,9328
0.4340,1766.00,9280
0.4380,1766.00,9360
0.4420,1766.00,9360
0.4460,1766.00,9392
0.4500,1766.00,9392
0.4530,1766.00,9376
0.4570,1766.00,9280
0.4610,1766.00,9424
0.4650,1766.00,9424
0.4690,1766.00,9344
0.4730,1766.00,9360
0.4760,1766.00,9360
0.4800,1766.00,9360
0.4840,1766.00,9376
0.4880,1766.00,9376
0.4920,1766.00,9360
0.4960,1766.00,9392
0.4990,1766.00,9328
0.5030,1766.00,9392
0.5070,1766.00,9376
0.5110,1766.00,9392
0.5150,1766.00,9376
0.5190,1766.00,9392
0.5220,1766.00,9392
0.5260,1766.00,9312
0.5300,1766.00,9312
0.5340,1766.00,9408
0.5380,1766.00,9360
0.5420,1766.00,9376
0.5450,1766.00,9392
0.5490,1766.00,9392
0.5530,1766.00,9376
0.5570,1766.00,9392
0.5610,1766.00,9408
0.5650,1766.00,9408
0.5680,1766.00,9376
0.5720,1766.00,9392
0.5760,1766.00,9344
0.5800,1766.00,9360
0.5840,1766.00,9392
0.5880,1766.00,9328
0.5910,1766.00,9424
0.5950,1766.00,9328
0.5990,1766.00,9312
0.6030,1766.00,9392
0.6070,1766.00,9392
0.6110,1766.00,9376
0.6140,1766.00,9376
0.6180,1766.00,9392
0.6220,1766.00,9376
