,Time,Command,Righthip,Lefthip,Pitch
0,0,0.0,171.0,-181.6931216931217,-2.1875
1,24,0.9596314024649986,171.0,-181.48148148148147,-2.1875
2,48,1.9170522386563407,171.0,-181.6931216931217,-2.1875
3,72,2.8700570344672567,171.0,-181.6931216931217,-2.1875
4,93,3.698587552831793,171.0,-181.6931216931217,-2.1875
5,110,4.364592461617386,170.78571428571428,-181.6931216931217,
6,123,4.870526813474057,171.0,-181.48148148148147,-2.1875
7,140,5.527112971282275,170.78571428571428,-181.6931216931217,
8,153,6.024937437125594,170.78571428571428,-181.6931216931217,-2.1875
9,170,6.669741842816288,171.0,-181.6931216931217,
10,183,7.157664792155129,171.0,-181.6931216931217,-2.1875
11,200,7.788366846173011,170.57142857142858,-181.9047619047619,
12,213,8.264632283283307,170.78571428571428,-181.6931216931217,
13,227,8.771276663924926,171.0,-181.6931216931217,
14,240,9.235583510829658,170.78571428571428,-181.9047619047619,
15,253,9.69364745497648,170.57142857142858,-181.9047619047619,-2.1875
16,270,10.282719833062263,170.78571428571428,-181.6931216931217,
17,283,10.725202735259124,170.78571428571428,-181.9047619047619,-2.1875
18,302,11.358785798346737,170.57142857142858,-181.9047619047619,
19,316,11.815192671848019,170.57142857142858,-181.9047619047619,
20,329,12.230712846609332,170.78571428571428,-181.9047619047619,-2.1875
21,345,12.730743644439357,170.78571428571428,-181.9047619047619,-2.1875
22,362,13.247732235968794,170.57142857142858,-182.11640211640213,
23,375,13.632775200466682,170.57142857142858,-181.9047619047619,-2.1875
24,392,14.122348790830713,170.78571428571428,-181.9047619047619,
25,405,14.485743487402852,170.78571428571428,-181.9047619047619,-2.1875
26,422,14.946140140352197,170.57142857142858,-182.11640211640213,
27,435,15.286578740510102,170.57142857142858,-181.9047619047619,-2.1875
28,452,15.71614152526287,170.78571428571428,-181.9047619047619,
29,465,16.032398817675542,170.57142857142858,-182.11640211640213,
30,478,16.337818819008834,170.57142857142858,-182.11640211640213,-2.1875
31,494,16.698538551190875,170.57142857142858,-181.9047619047619,
32,507,16.97905014369224,170.78571428571428,-181.9047619047619,-2.1875
33,524,17.32852698631577,170.57142857142858,-182.11640211640213,
34,537,17.582279569495945,170.35714285714286,-182.11640211640213,-2.1875
35,554,17.896151436853437,170.57142857142858,-181.9047619047619,
36,567,18.122231775432883,170.57142857142858,-182.11640211640213,
37,581,18.351999073850408,170.57142857142858,-182.11640211640213,-2.1875
38,596,18.582208595216517,170.57142857142858,-182.11640211640213,-2.1875
39,613,18.822886293760735,170.57142857142858,-181.9047619047619,
40,627,19.00476627149798,170.57142857142858,-182.11640211640213,-2.1875
41,644,19.205578023119322,170.35714285714286,-182.11640211640213,
42,657,19.344172390463193,170.57142857142858,-181.9047619047619,-2.1875
43,674,19.505667865968334,170.57142857142858,-182.11640211640213,
44,687,19.613960378022075,170.35714285714286,-182.11640211640213,-2.1875
45,704,19.735558368093383,170.57142857142858,-181.9047619047619,
46,717,19.81315928875548,170.57142857142858,-182.11640211640213,
47,731,19.881750301755886,170.57142857142858,-182.11640211640213,-2.1875
48,746,19.937943507152042,170.57142857142858,-182.11640211640213,-2.1875
49,763,19.9799362465729,170.35714285714286,-182.11640211640213,
50,776,19.996467085007495,170.57142857142858,-182.11640211640213,-2.1875
51,796,19.99550421087054,170.57142857142858,-182.11640211640213,
52,809,19.977722269399056,170.35714285714286,-182.32804232804233,-2.1875
53,826,19.93409586104815,170.57142857142858,-182.11640211640213,
54,839,19.885183749429967,170.57142857142858,-182.11640211640213,-2.1875
55,856,19.800946292366223,170.35714285714286,-182.32804232804233,
56,869,19.721080041384425,170.35714285714286,-182.11640211640213,-2.1875
57,885,19.60448945576091,170.57142857142858,-181.9047619047619,
58,898,19.494972921256423,170.57142857142858,-182.11640211640213,
59,912,19.362296988172595,170.57142857142858,-182.32804232804233,-2.1875
60,927,19.20330309472517,170.35714285714286,-182.32804232804233,-2.1875
61,944,19.00222673188675,170.35714285714286,-182.11640211640213,
62,958,18.82013102973137,170.57142857142858,-182.11640211640213,-2.1875
63,974,18.593964365083735,170.57142857142858,-182.11640211640213,
64,987,18.396174007345646,170.35714285714286,-182.11640211640213,-2.1875
65,1004,18.118783805638312,170.57142857142858,-181.9047619047619,
66,1017,17.89251273960719,170.57142857142858,-182.11640211640213,
67,1031,17.635314796019397,170.57142857142858,-182.11640211640213,-2.1875
68,1047,17.32445774760119,170.35714285714286,-182.11640211640213,-2.1875
69,1064,16.97474333492704,170.57142857142858,-182.11640211640213,
70,1078,16.671992007548294,170.57142857142858,-182.11640211640213,-2.1875
71,1094,16.310000733940306,170.57142857142858,-181.9047619047619,
72,1108,15.979546047129693,170.78571428571428,-181.9047619047619,-2.1875
73,1124,15.586559742998539,170.57142857142858,-182.11640211640213,
74,1137,15.255488057761877,170.57142857142858,-182.11640211640213,
75,1151,14.887423392252021,170.57142857142858,-181.9047619047619,-2.1875
76,1167,14.452504313203814,170.78571428571428,-182.11640211640213,
77,1181,14.059795455655594,170.57142857142858,-182.11640211640213,-2.1875
78,1197,13.597507159949949,170.57142857142858,-181.9047619047619,
79,1210,13.211624025584015,170.78571428571428,-181.9047619047619,-2.1875
