,Time,Command,Righthip,Lefthip,Pitch
0,0,0.0,0.4285714285714306,0.529100529100532,-2.8125
1,19,0.7598171065387406,0.4285714285714306,-0.10582010582010781,-2.8125
2,143,5.642339444185877,0.4285714285714306,-0.10582010582010781,-2.8125
3,161,6.329288021074483,-5.357142857142854,0.10582010582010781,-2.8125
4,181,7.082906422527039,1.9285714285714306,2.857142857142854,-2.875
5,200,7.788366846173011,4.5,3.915343915343918,-2.875
6,219,8.482582221344977,4.714285714285708,4.1269841269841265,-2.8125
7,235,9.057725707581366,5.142857142857139,4.338624338624342,-2.8125
8,251,9.623594874142325,4.714285714285708,4.338624338624342,-2.6875
9,372,13.544727673799422,5.142857142857139,6.878306878306873,-2.125
10,494,16.698538551190875,12.642857142857139,12.38095238095238,-2.125
11,512,17.08389326633435,12.42857142857143,13.015873015873012,-2.1875
12,530,17.447109646899726,10.285714285714292,13.439153439153444,-2.1875
13,550,17.82414720122871,12.42857142857143,14.708994708994709,-2.125
14,566,18.105273992040615,13.714285714285708,14.920634920634924,-2.0625
15,582,18.367862564293656,14.142857142857139,14.708994708994709,-1.8125
16,600,18.640781719344524,15.857142857142861,15.132275132275126,-1.6875
17,616,18.863107839266416,15.857142857142861,15.343915343915342,-1.375
18,632,19.06611978498815,15.0,15.767195767195773,-1.0625
19,651,19.281825112040973,15.42857142857143,15.978835978835974,-0.875
20,667,19.44189020828745,15.42857142857143,16.402116402116405,-0.5
21,683,19.582048507760945,15.42857142857143,17.037037037037038,-0.125
22,701,19.715753862976698,16.07142857142857,17.037037037037038,0.0625
23,716,19.807664863066037,15.642857142857139,17.248677248677254,0.4375
24,733,19.890277770663754,15.214285714285708,17.460317460317455,0.8125
25,752,19.95539909413886,15.0,17.883597883597886,1.1875
26,774,19.994803499892306,15.0,18.730158730158735,4.125
27,997,18.23555851118249,16.92857142857143,19.576719576719583,4.125
28,1014,17.94580833162055,17.57142857142857,19.576719576719583,4.1875
29,1033,17.597438807323233,17.57142857142857,19.576719576719583,4.1875
30,1053,17.203295409474308,17.785714285714292,18.941798941798936,4.25
31,1073,16.781630408810845,17.57142857142857,18.51851851851852,4.25
32,1096,16.263569815841848,17.785714285714292,17.460317460317455,4.3125
