,Time,Command,Righthip,Lefthip,Pitch
0,0,0.0,0.6428571428571459,-0.31746031746031633,-0.875
1,23,0.9196755809920999,0.4285714285714306,0.10582010582010781,-0.6875
2,50,1.996668332936563,0.4285714285714306,-0.10582010582010781,-0.625
3,72,2.8700570344672567,0.6428571428571459,-0.10582010582010781,-0.5625
4,98,3.894949711704083,1.0714285714285694,0.10582010582010781,-0.5625
5,120,4.754052528542692,1.2857142857142847,0.7407407407407405,-0.75
6,244,9.377205647578375,0.4285714285714306,0.529100529100532,-0.75
7,261,9.972295625721111,-0.4285714285714306,3.0687830687830697,-0.5625
8,380,13.778428902211026,9.214285714285708,8.994708994709,-0.4375
9,399,14.31922487396134,9.0,9.206349206349202,-0.375
10,415,14.758627422199254,9.0,9.841269841269835,-0.25
11,431,15.182918425541361,9.0,9.841269841269835,-0.25
12,452,15.71614152526287,9.857142857142861,10.899470899470899,-0.1875
13,471,16.174721211062604,10.5,12.38095238095238,-0.1875
14,595,18.567379344983333,15.857142857142861,15.132275132275126,-0.125
15,611,18.795695383108377,15.214285714285708,15.343915343915342,-0.0625
16,629,19.02953608002933,15.0,15.978835978835974,-0.0625
17,646,19.22774767834407,15.214285714285708,16.19047619047619,-0.0625
18,662,19.394000991344083,15.42857142857143,16.402116402116405,-0.25
19,782,19.9995381011989,15.0,18.306878306878303,-0.25
20,803,19.98760829376001,14.357142857142861,18.306878306878303,-0.3125
21,923,19.24739741663202,17.785714285714292,19.15343915343915,-0.3125
22,946,18.9771219038746,17.57142857142857,18.941798941798936,-0.3125
23,964,18.73756474356005,17.57142857142857,18.941798941798936,-0.375
24,984,18.44292664877761,18.0,18.941798941798936,-0.3125
25,1104,16.075251467064188,17.57142857142857,18.730158730158735,-0.3125
26,1124,15.586559742998539,17.57142857142857,18.095238095238102,-0.4375
27,1247,12.065364089796866,17.57142857142857,15.767195767195773,-0.4375
28,1265,11.483442967091452,17.14285714285714,15.978835978835974,-0.4375
29,1285,10.819444407539772,14.57142857142857,15.767195767195773,-0.4375
30,1306,10.103636758196817,15.214285714285708,14.920634920634924,-0.375
31,1325,9.440610825797652,13.714285714285708,12.592592592592595,-0.4375
32,1447,4.901414735508846,10.714285714285708,12.169312169312164,-0.4375
33,1465,4.200345985017983,6.642857142857139,13.650793650793645,-0.375
34,1486,3.3756172125007504,7.928571428571431,9.206349206349202,-0.4375
35,1606,-1.4069838068479998,4.928571428571431,3.7037037037037024,-0.5
36,1624,-2.124133202265131,4.285714285714292,4.1269841269841265,-0.5
37,1647,-3.036360233180533,-0.4285714285714306,3.2804232804232782,-0.5
38,1666,-3.785177903932782,2.357142857142854,1.1640211640211646,-0.3125
39,1686,-4.56748248241368,-1.0714285714285694,-0.7407407407407405,-0.1875
40,1703,-5.226745133031974,-1.0714285714285694,-0.529100529100532,-0.1875
41,1719,-5.841722276326227,-1.7142857142857153,-0.7407407407407405,-0.1875
42,1736,-6.488567369046869,-1.9285714285714306,-1.1640211640211646,-0.1875
43,1754,-7.165271525476243,-3.2142857142857153,-1.7989417989417973,-0.1875
44,1769,-7.722135664016978,-3.2142857142857153,-2.2222222222222214,-0.1875
45,1787,-8.381155756031163,-3.642857142857146,-3.2804232804232782,-0.1875
46,1808,-9.136226487371594,-4.071428571428569,-3.492063492063494,-0.125
47,1827,-9.80553657281779,-4.714285714285715,-4.550264550264551,-0.125
48,1850,-10.596722818169868,-5.571428571428569,-5.6084656084656075,-0.125
49,1868,-11.2003570182139,-6.214285714285715,-5.820105820105823,-0.125
50,1888,-11.854005631589333,-7.071428571428569,-6.24338624338624,-0.0625
51,1907,-12.457422321664549,-8.142857142857146,-6.455026455026456,-0.125
52,1925,-13.012502741303347,-7.928571428571431,-6.455026455026456,-0.125
53,1948,-13.697138711770151,-9.214285714285715,-6.24338624338624,-0.0625
54,1968,-14.268969066215053,-9.642857142857146,-6.455026455026456,-0.0625
55,1987,-14.791077820141785,-10.714285714285715,-6.24338624338624,0.0625
56,2108,-17.586161031113924,-13.714285714285715,-8.35978835978836,0.5
57,2228,-19.346239968729357,-16.714285714285715,-16.402116402116405,0.5
58,2249,-19.54213142575426,-17.357142857142854,-17.037037037037038,0.5
59,2269,-19.696654771284486,-17.57142857142857,-17.037037037037038,0.5
60,2289,-19.819667670909574,-17.357142857142854,-17.037037037037038,0.5
61,2309,-19.91097333023148,-17.57142857142857,-17.037037037037038,1.125
62,2430,-19.782505215887397,-18.642857142857146,-17.248677248677247,1.9375
63,2553,-18.470603297286814,-18.0,-17.460317460317462,2.125
64,2571,-18.18255670940048,-18.0,-18.306878306878303,2.3125
65,2590,-17.85295358856469,-18.0,-18.095238095238095,2.5
66,2611,-17.45868665977252,-18.0,-18.306878306878303,2.6875
67,2630,-17.075415552690867,-18.0,-18.306878306878303,3.0
68,2653,-16.578524707904975,-17.785714285714285,-18.306878306878303,3.25
69,2671,-16.165132258627125,-18.0,-18.306878306878303,3.5625
70,2691,-15.681263158890497,-18.0,-18.095238095238095,3.9375
71,2711,-15.172307383257372,-18.214285714285715,-17.67195767195767,4.3125
72,2731,-14.63907915239732,-17.357142857142854,-17.883597883597886,6.125
73,2854,-10.879805794082822,-14.785714285714285,-16.19047619047619,6.375
74,2872,-10.26874104006817,-19.285714285714285,-13.86243386243386,6.5625
